"","Sport","Players","percentage"
"1","Aerobics",3147,0.033189900651775
"2","Baseball",3414,0.036005821679428
"3","Basketball",6236,0.0657681031027864
"4","Biking",4611,0.0486300069607037
"5","Cheerleading",904,0.00953405471534941
"6","Dance",4732,0.0499061359657449
"7","Field Hockey",862,0.00909110084583096
"8","Football",4692,0.0494842751376321
"9","Frisbee",2114,0.0222953447657618
"10","Golf",1450,0.0152924550190892
"11","Gynmastics",1176,0.0124027083465165
"12","Hiking",2823,0.0297728279440613
"13","Horseback Riding",1118,0.0117910101457529
"14","Ice Hockey",370,0.00390221266004345
"15","Ice Skating",1564,0.0164947583792107
"16","Jump Rope",3669,0.0386951844586471
"17","Lacrosse",635,0.00669704064629079
"18","Marching Band",797,0.00840557700014765
"19","Martial Arts",1210,0.0127612900504124
"20","Racquetball",886,0.00934421734269864
"21","Roller Skating",2147,0.0226433799489548
"22","Running",8227,0.0867662258221013
"23","Skateboarding",1946,0.020523529287688
"24","Soccer",3394,0.0357948912653716
"25","Surfing",601,0.0063384589423949
"26","Swimming",5192,0.0547575354890422
"27","Tennis",2370,0.0249952540656837
"28","Track",2190,0.0230968803391761
"29","Volleyball",3201,0.0337594127697273
"30","Waterskiing",745,0.007857157923601
"31","Walking",9032,0.0952561749878715
"32","Weightlifting",5619,0.0592608998291464
"33","Wrestling",1755,0.0185091438334493
"34","Yoga",1989,0.0209770296779093
